single,0.10,9700
single,0.12,39475
single,0.22,84200
single,0.24,160725
single,0.32,204100
single,0.35,510300
single,0.37,1000000000
married-jointly,0.10,19400
married-jointly,0.12,78950
married-jointly,0.22,168400
married-jointly,0.24,321450
married-jointly,0.32,408200
married-jointly,0.35,612350
married-jointly,0.37,1000000000
married-separately,0.10,9700
married-separately,0.12,39475
married-separately,0.22,84200
married-separately,0.24,160725
married-separately,0.32,204100
married-separately,0.35,306175
married-separately,0.37,1000000000
head-of-household,0.10,13850
head-of-household,0.12,52850
head-of-household,0.22,84200
head-of-household,0.24,160700
head-of-household,0.32,204100
head-of-household,0.35,510300
head-of-household,0.37,1000000000
